customerId,recommendedProducts
0,42|25|33|21|52|40|15|27|34|7
1,42|25|33|21|52|40|15|27|34|7
2,4|42|25|33|21|52|40|15|27|34
3,42|25|33|21|52|40|15|27|34|7
4,42|25|33|21|52|40|15|27|34|7
5,4|42|25|33|21|52|40|27|34|7
6,4|42|25|33|52|40|15|27|34|7
7,42|25|33|21|52|40|15|27|34|7
8,30|29|48|42|33|52|40|15|34|7
9,4|42|25|33|52|40|15|27|34|7
10,29|48|4|42|25|21|52|40|27|7
11,42|25|33|21|52|40|15|27|34|7
12,42|25|33|21|52|40|15|27|34|7
13,48|4|42|25|33|21|52|15|27|7
14,48|4|42|33|21|52|40|15|27|34
15,42|25|33|21|52|40|15|27|34|7
16,4|25|33|21|52|40|15|27|34|7
17,4|25|33|21|52|40|15|27|34|7
18,4|42|25|33|21|52|40|27|34|7
19,4|42|25|33|21|52|40|27|34|7
20,4|42|25|33|21|52|40|15|34|7
21,42|25|33|21|52|40|15|27|34|7
22,42|25|33|21|52|40|15|27|34|7
23,42|25|33|21|52|40|15|27|34|7
24,4|42|25|33|21|52|40|15|34|7
25,29|4|42|25|33|21|52|15|27|7
26,42|25|33|21|52|40|15|27|34|7
27,42|25|33|21|52|40|15|27|34|7
28,4|42|25|33|21|52|40|15|34|7
29,48|4|42|33|21|52|15|27|34|7
30,4|42|25|33|52|40|15|27|34|7
31,48|4|42|33|52|40|15|27|34|7
32,4|42|25|33|21|52|40|15|27|7
33,48|42|25|21|52|40|15|27|34|7
34,42|25|33|21|52|40|15|27|34|7
35,42|25|33|21|52|40|15|27|34|7
36,29|48|4|42|33|21|52|40|27|7
37,42|25|33|21|52|40|15|27|34|7
38,42|25|33|21|52|40|15|27|34|7
39,42|25|33|21|52|40|15|27|34|7
40,42|25|33|21|52|40|15|27|34|7
41,4|42|33|21|52|40|15|27|34|7
42,4|25|33|21|52|40|15|27|34|7
43,48|4|42|25|33|40|15|27|34|7
44,42|25|33|21|52|40|15|27|34|7
45,42|25|33|21|52|40|15|27|34|7
46,48|4|25|33|21|52|40|27|34|7
47,4|42|25|21|52|40|15|27|34|7
48,4|42|25|33|21|52|40|27|34|7
49,4|42|33|21|52|40|15|27|34|7
50,42|25|33|21|52|40|15|27|34|7
51,4|42|25|33|52|40|15|27|34|7
52,42|25|33|21|52|40|15|27|34|7
53,42|25|33|21|52|40|15|27|34|7
54,4|25|33|21|52|40|15|27|34|7
55,4|42|25|33|21|52|40|27|34|7
56,42|25|33|21|52|40|15|27|34|7
57,42|25|33|21|52|40|15|27|34|7
58,29|48|4|25|33|21|52|40|34|7
59,42|25|33|21|52|40|15|27|34|7
60,48|4|42|25|33|21|52|40|27|7
61,4|42|25|33|21|40|15|27|34|7
62,29|48|42|25|33|21|52|40|27|34
63,42|25|33|21|52|40|15|27|34|7
64,42|25|33|21|52|40|15|27|34|7
65,48|4|42|25|21|40|15|27|34|7
66,48|4|42|25|33|21|52|40|15|34
67,42|25|33|21|52|40|15|27|34|7
68,42|25|33|21|52|40|15|27|34|7
69,4|42|25|33|52|40|15|27|34|7
70,48|4|42|25|33|52|15|27|34|7
71,4|42|25|33|21|40|15|27|34|7
72,48|42|25|33|52|40|15|27|34|7
73,29|48|4|42|25|33|15|27|34|7
74,42|25|33|21|52|40|15|27|34|7
75,4|42|25|33|21|52|40|27|34|7
76,4|42|33|21|52|40|15|27|34|7
77,0|30|29|48|4|33|52|27|34|7
78,29|4|25|33|21|52|40|15|27|7
79,42|25|33|21|52|40|15|27|34|7
80,4|42|25|33|21|52|40|27|34|7
81,42|25|33|21|52|40|15|27|34|7
82,4|42|25|21|52|40|15|27|34|7
83,42|25|33|21|52|40|15|27|34|7
84,4|42|25|33|21|52|15|27|34|7
85,4|25|33|21|52|40|15|27|34|7
86,42|25|33|21|52|40|15|27|34|7
87,29|48|4|42|25|33|21|27|34|7
88,29|4|42|25|33|21|40|27|34|7
89,42|25|33|21|52|40|15|27|34|7
90,48|4|42|25|21|52|40|15|27|7
91,48|4|42|25|33|21|52|40|15|7
92,42|25|33|21|52|40|15|27|34|7
93,48|42|25|33|21|52|40|15|34|7
94,48|42|25|33|21|40|15|27|34|7
95,42|25|33|21|52|40|15|27|34|7
