customerId,products
0,0|1|2
1,3|4|5
2,6|7|8
3,9|10|11
4,5|12|13|14
5,15|16|1|17
6,11|18|17|19|20|21
7,2|22|9|23|20
8,12|24|22|25|4|3|26|21|27
9,28|3|29|9|30|17|21|31
10,32|18|15|33|2|34
11,24|35|5|36|37|27|9|17|38|12
12,39|32|6
13,40|41|34|1
14,25|7|29|10|3
15,11|24|1|39|30|13
16,12|11|30|42|43
17,44|10|1|12|3|16|42|14|13|34
18,45|15|46|35|37|10
19,15|47|48|2|49|35|40
20,27|29|45|39|47|41|24|16|13
21,49|41|38
22,26|46|47|49|20|1
23,11|5|17
24,35|50|49|38|51|23|27
25,35|22|6|19|48|43|34|40|41
26,0|10|26|3|19|37|6
27,23|4|45
28,27|46|14|50|48|24
29,50|0|14|25|40|38|41
30,21|19|45|35|18
31,15|13|41|38|50|5|25|21|17|18
32,34|3|28|8|17|37|10|30|48
33,33|22|10|6|52|39|8|53|14|4
34,35|49|5|2|18|30
35,12|26|4|36|35|23|5
36,34|17|2|25|15|19|11|50|13
37,3|13|11|32
38,32|49|24|22|5
39,0|44|43
40,45|31|5|22
41,49|13|40|25|41|11|28|31
42,43|42|5|0|6|44|41|51|23
43,20|50|0|31|29|46|35|52|36|21
44,26|17|47
45,45|17|9|5|12|26
46,6|53|30|16|15|42
47,11|30|17|26|42|28|33|39|32
48,44|40|30|15|10|45|0|50
49,13|16|11|25|4|2
50,51|23|6|22|42|2|26
51,21|32|44|3|49|37
52,28|12|43
53,4|17|33|35
54,5|42|35|51|8|13|32|50
55,15|0|12|51
56,43|30|49|32|17|50|52
57,45|14|50|51|2|44|43
58,27|12|15|47|42|17|14
59,26|8|49
60,37|29|2|46|34|44|24|10|15
61,44|32|51|52|5
62,46|23|7|4|15|49|8
63,29|51|5|11|8|0|1|31|46
64,13|48|30|44|5|49
65,32|39|24|50|52|12|33|0|1
66,27|7|38
67,16|1|31
68,11|4|53
69,21|49|38|47|3
70,40|21|0
71,52|23|20|3|43|12
72,27|29|44|4|21|46|16
73,21|52|40|30|18|35|19|13|2|0
74,17|11|19
75,5|8|15|33|38|51|2|53
76,39|31|8|49|51|34|28|38|17|25
77,26|21|23|3|40|15|25|39|42|51
78,34|10|45|42|48|16|36|35|53
79,6|31|41|19|23|12|44|9
80,15|47|26|53
81,23|13|30|0|43|10|14|32|11|18
82,33|29|47|5
83,18|1|36|31
84,38|40|44|18|30|39
85,49|19|42|41|26
86,19|29|20|48|49
87,40|36|52|31|0|23|1|12|15
88,20|9|32|52|36|17|48|15
89,6|13|23|46|12|24
90,13|33|22|34|9|47
91,37|34|27|41
92,45|19|29|7
93,43|6|12|27|41|4|7|0
94,38|52|3|4
95,29|53|28|32|45
96,13|33|27|38|50|30|28
97,22|5|0|15|28|24|9
98,44|40|53|51|41|30|32
99,42|13|43|41|26
100,0|21|5|50|1|13
101,45|17|47
102,34|1|19|38|31
103,45|25|43|10|22
104,40|15|25|38|48|1|26|51|18|21
105,27|35|7|36|10|37|43|40|17
106,4|11|44|14|23|31|38|8
107,48|2|51|15|44|47
108,35|26|36|3|28
109,7|23|39|17|33|29
110,18|47|43|40|23|28|38|46|39
111,3|17|23|45|48|22|8|7|11
112,37|11|18|38
113,41|40|24
114,7|0|45|32|30|52
115,52|28|12|3
116,29|25|8|10
117,34|35|8|13|49
118,37|10|49|32|41
119,26|21|12|48|22|1|32|53
120,31|23|0
121,27|47|3|40|43|18
122,5|38|24|23|51|9|44|12|42|30
123,0|42|9|39|19|44|45|22|6|2
124,2|14|0|28
125,8|36|40|32|41|33|43|14
126,9|4|13|50|27|51|34|21|11|14
127,2|7|3|27
128,9|3|19|51|44
129,27|12|43
130,8|5|34|26|7
131,42|6|39|48|11|14|32
132,21|4|35|48|49|52
133,39|28|8|27
134,14|2|13|21|4
135,37|27|19|7|32|53|8|41|4|44
136,7|52|19|42|53|3|20|2|12
137,46|30|41|36|12|4|33|5|0|2
138,33|10|41|21|1|52
139,33|24|52|3|47|41|45
140,40|33|12|21|47|20|4|28|10
141,29|7|38|5|17|37|47|52|45|35
142,38|46|15|33|25|40|17|6|36|24
143,50|44|51
144,26|17|21|41|48|2|12
145,48|9|5|23|1|2|21
146,35|25|45
147,38|48|9|37|43|42
148,47|51|48|5|18|42|14|7|44|19
149,39|1|48|13|38|30
150,44|51|15|31|13|5|37
151,39|38|1
152,24|37|47|33|23
153,33|5|52|17|4|3|48
154,14|33|0|23|22|43
155,51|5|34|17|53|38
156,44|24|8
157,36|31|1|42|52|44|47
158,14|11|44
159,45|23|31|42|37|33
160,5|18|11|25|32|3|36
161,12|24|50|16|7|44|49|40|22
162,26|42|10|4|31
163,35|20|7|50|37|42|12|13
164,2|21|11|48
165,27|6|35|16|3
166,26|33|35|43
167,43|16|2|40
168,6|36|29
169,17|52|39|18|38|49|4|44|37|20
170,3|25|30|2|15|9|23|36|39
171,19|30|18|39|32|44
172,41|9|2|28|17|47|18|6
173,53|41|32|10|28|16|18|35
174,9|41|38|25|13|26|36|4|23
175,46|13|40
176,43|0|9|50|33|52
177,17|0|20|29|47|8|23
178,13|9|31|52|40|47|42|10
179,27|18|4|10|19|26|1
180,23|48|2|42|19|32
181,26|11|22|41
182,51|17|4|11|42
183,1|12|51|18|7|43|2
184,22|12|28|6|33|41|38|48|23
185,33|46|1|9|0|29|48|18
186,11|18|29|19|30
187,45|49|15|24
188,4|8|52|11|27|42|28|30
189,34|5|51|13|46|10|33
190,26|14|18|45|29|44
191,8|49|38|18|10
192,31|22|12|23|53
193,41|22|2
194,22|47|20|13|45
195,14|0|45|27|52|20|1|33|23|17
196,52|28|29|12|23|34|4|18|9|22
197,18|31|53|48|5|29|32
198,42|8|51|30
199,30|21|6
200,12|16|7|51|43|34|30|23|33
201,35|42|33|0|1|53|32
202,31|45|14|30|12|13|46|26|17
203,25|48|7|2|0|23
204,47|37|3|24|19|8
205,28|53|1|22|41|36|0
206,3|15|40|22|37|53|17|42|18
207,20|19|0|22|31|3|23|45
208,34|26|32|6|40|24|28
209,16|45|42|31|33|6|32|12|19
210,2|3|14|43|35|38|29|17
211,16|44|2|11|52|15|43
212,5|37|17|53|38|39|32
213,44|12|40|14|33|3|36
214,25|33|28|37|8|30|7|35|13
215,34|5|10|52|16|51|23|35|39|13
216,11|6|52|26|21|19|46|45
217,26|49|2|3|48|44|50
218,22|34|32
219,15|7|5|20|14|27|45|4
220,49|21|36|9|10|27|37|30
221,36|50|13|18|17|1
222,4|29|1
223,34|18|44
224,26|43|51|2|35|49|16|21|37|33
225,47|48|31|44|11
226,0|5|2|53|39|44|19
227,40|7|1|20
228,0|38|47|14|31|9|44
229,12|21|32|35
230,9|35|16|14|43|33|6|0|22|10
231,41|1|0|47|44|12|16
232,16|17|12|32|11|0|27
233,33|26|19|2|11|48|23|49|13
234,24|37|26|21|39|7|34|50
235,4|35|52
236,48|10|21|27|0|12
237,4|2|36|25|29|22|20|1|41|49
238,23|35|36
239,34|6|29|22|32|5
240,12|11|41|25|19
241,22|48|3|46|25
242,28|7|31|35|46|30|53
243,49|23|10|32|28|39|9|36|20
244,11|18|2|19|31|8|17|27|44|53
245,11|31|6|32|16|33|52|12|9
246,11|37|10|22|12|5|1|53
247,50|22|52
248,28|3|25|49|35|29|36
249,52|46|42|25|36|9|20|12|17
250,6|14|39|47|10|42|49|11
251,37|11|17|28|41|25|34|21
252,16|4|12|38|5|6|48|10|27
253,42|12|28|14|20|24
254,19|0|50|9|16
255,53|47|11|45|15|33|17|43
256,51|5|41|25|37|12|9|31|30|32
257,38|51|42|1|9
258,33|46|9|43|29|19|31|2
259,41|48|14|44|21|2|40|43|25
260,50|0|36|35|14|42
261,38|17|48|8
262,38|2|11|35|3|31|25|50
263,45|29|6|7|10|47
264,46|14|13|45|43|39|41
265,13|41|9|20|28|39|5|18|10|14
266,33|17|40|42|8|6|31|52
267,29|23|11|21|47
268,20|33|35|23|27|21|25
269,43|41|14|28|10|32
270,11|43|46|13|8|47|34
271,2|16|25|26|8|22
272,12|44|3|41|25
273,33|10|5|29|42|34|40|48|51|46
274,24|35|2|41|6|17|49
275,44|7|25|12|50
276,15|52|36|9|47|18|44
277,51|25|26|39|41|32|40|9
278,28|8|45|0|16|49|20|21|51
279,45|20|33|32|27|19|50|46|9
280,16|30|5|17
281,23|45|52
282,27|17|39|8|47|32|10|46
283,4|11|22|44|7
284,45|3|33|21|22|25|30|31|40|28
285,35|21|33|44|15|18|12
286,33|3|24|5|47
287,2|29|14|45|7|49
288,50|20|32|34|27|39|42|25|19
289,39|46|0|9|11|20|44|27
290,13|48|5|7|1|38|21
291,34|51|45|22|17|18|46|16|41
292,17|14|46|52|45
293,50|35|15|37|38
294,49|8|6|5|50
295,48|19|0|34
296,37|38|53
297,15|9|3|50|44
298,36|25|43|33|45|53|13|27|48|11
299,39|52|34
300,10|28|4|0
301,30|33|21|8|25
302,53|17|39|49|6|24|48|3
303,30|24|23|16|48|31|21|6|51
304,52|28|16|9|10|29
305,12|9|35|44|42|13|34
306,0|5|13|14|43|27|52
307,31|30|47|45|53
308,23|15|24|3|44
309,3|10|22|32|13|39
310,3|22|40|5|46
311,33|26|1|31|10|53|32
312,16|43|22|45|0
313,7|41|23|10|29|35|31|19
314,48|22|24|19|18
315,5|51|8
316,25|5|50
317,28|31|50|52|27
318,35|10|36|17|22|50|45|44|41|51
319,9|24|6|35|41
320,51|52|40|53|33|48|15|38
321,15|21|0|52|25
322,53|19|20|1|33|10|0|27|29|37
323,20|11|16|14|30|27|43|41
324,35|16|41|1|46|49|4|0|10|34
325,20|0|40|17|23|8|24|42|13
326,19|13|14|21|43|41|20
327,42|40|21|39|43|11|9
328,43|26|12|42|25|52|1|40
329,53|10|0|48
330,35|40|37|33|23
331,5|2|21|52|27|22
332,29|31|2|15|11|53|22|13|41|32
333,0|25|28|9|7|45|47|4|49
334,13|40|16
335,2|11|15|35|8|0
336,9|19|47|45|26|32|52
337,18|38|7
338,13|1|21|36|34|26|31|38|53|20
339,31|45|47|9|25|10
340,0|53|11|39|30|4|46|17
